Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
C11,1,0,1,0,0,4,7192.54370117188,478.806012787496,1194.08850097656,232.825594964005,375.300971984863,55.3478983610521,1.39777943491936,35.3775192745632,379.749649047852,49.6983629826862,360.718643188477,52.7676999961234,6,
C11,0,0,0,1,0,12,775.728317260742,65.0974932623481,915.212687174479,82.1860142552201,55.2640750408173,42.039368484775,31.5811849832535,36.017190735004,3041.44930013021,1758.54443014783,565.388585408529,203.675035192238,7,
C11,1,0,0,1,0,1,7555.7548828125,0,1124.50964355469,0,95.3667831420898,0,-29.8967208862305,0,4786.65771484375,0,776.668823242188,0,8,
C11,1,1,0,1,0,1,6343.76513671875,0,4504.22265625,0,104.492721557617,0,50.3611106872559,0,2964.798828125,0,741.270690917969,0,9,
C11,0,0,1,1,0,14,816.53611101423,85.0548434975307,946.205671037946,87.9468011988549,363.715785435268,80.2003214448419,2.09455982276372,45.6651404485619,4504.25125558036,457.599894338209,744.39493233817,100.49596777761,10,
C11,1,0,1,1,0,21,7306.53871372768,426.702355774498,1109.18707275391,98.1079068059044,314.99823651995,83.1880549382013,40.9071214766729,41.7269080165014,4071.24429175967,419.908793944002,734.289361862909,102.406362324437,11,
C11,1,1,1,1,0,1,6840.40185546875,0,4627.431640625,0,224.729553222656,0,72.4562530517578,0,3492.6630859375,0,596.663208007813,0,12,
C11,0,0,0,0,1,47,774.432412005485,48.5117101681698,998.393707924701,82.884325218108,48.4337914104157,29.9433380610339,28.8776195366332,45.6892390351514,29.4000239651254,92.9487020432238,3787.67442029588,623.079610222124,13,
C11,1,0,0,0,1,6,7195.79516601563,274.480893094887,1056.1779683431,131.67414507621,71.4679158528646,22.2264727157353,37.1739024321238,47.474488451197,130.29628499349,26.4529548832141,2901.61612955729,485.265430069893,14,
C11,0,1,0,0,1,20,996.488619995117,94.3687951852235,5249.0427734375,381.421716671073,44.9834491252899,24.9787868275101,25.9295251965523,47.7181378878282,33.5791320562363,85.4568029621934,3569.00469970703,552.685534561956,15,
